cell,integration_cluster,cell_type,sample_type
X125197046135078.N,3,Pro-angiogenesis Macrophage,N
X125197046398318.T,5,B Cell,T
X125197064555814.N,1,Effector/Memory CD4+ T cells,N
X125197064723235.N,11,cDC1,N
X125197065316597.N,13,Lung Cancer Cell,N
X125239699586422.T,0,Effector/Memory CD4+ T cells,T
X125239699590366.N,7,Macrophage,N
X125239699893019.T,5,B Cell,T
X125239700175221.N,3,Pro-angiogenesis Macrophage,N
X125239700182750.N,2,Phagocytosis Macrophage,N
X125239700417372.T,1,CD8+ T cell,T
X125239714535726.T,10,CAFinfla,T
X125239726881637.T,1,Exhausted CD8+ T cells,T
X125239727156451.N,2,Pro-angiogenesis Macrophage,N
X125239727384371.T,0,CD4+ T cell,T
X125239746312109.N,0,Blood Cell,N
X125239746480478.T,0,T regulatory cells,T
X125239746508531.T,0,T regulatory cells,T
X125239746549989.N,11,cDC2,N
X125247349970851.N,3,Pro-angiogenesis Macrophage,N
X125247350495989.N,4,Macrophage,N
X125247350500653.N,3,Pro-angiogenesis Macrophage,N
X125247350761262.N,1,Effector/Memory CD8+ T cells,N
X125247364712795.N,3,Pro-angiogenesis Macrophage,N
X125247364914587.N,1,Effector/Memory CD4+ T cells,N
X125247364950323.N,0,Effector/Memory CD4+ T cells,N
X125247365003108.T,4,Macrophage,T
X125247365176155.N,2,Phagocytosis Macrophage,N
X125247377267549.T,1,Exhausted CD8+ T cells,T
X125247377271726.T,12,Endothelial Cells,T
X125247377333107.T,6,Effector/Memory CD8+ T cells,T
X125247377562909.T,1,Exhausted CD8+ T cells,T
X125247396375332.N,6,Natural killer cell,N
X125247396440805.T,3,Macrophage,T
X125247396441371.T,3,Macrophage,T
X125247396632997.T,7,Macrophage or Dendritic Cell,T
X125247396669742.N,0,Blood Cell,N
X125247396957429.T,1,Exhausted CD8+ T cells,T
X125677920439222.N,3,Pro-angiogenesis Macrophage,N
X125677920446699.N,4,Macrophage,N
X125677920479139.N,3,Pro-angiogenesis Macrophage,N
X125677920709046.T,1,Effector/Memory CD8+ T cells,T
X125677920806827.N,11,cDC1,N
X125677921221430.T,5,B Cell,T
X125677935119796.N,2,Pro-angiogenesis Macrophage,N
X125677935454491.T,1,CD8+ T cell,T
X125677935900917.T,5,B Cell,T
X125677935967525.N,4,Pro-angiogenesis Macrophage,N
X125677935970150.N,1,Effector/Memory CD4+ T cells,N
X125677936004446.T,4,Macrophage,T
X125677947710774.N,2,Pro-angiogenesis Macrophage,N
X125677948037411.T,0,T regulatory cells,T
X125677948057446.T,4,Phagocytosis Macrophage,T
X125677948325220.T,4,Macrophage,T
