cell,integration_cluster,cell_type,sample_type
X230807862957859.T,1,Effector/Memory CD8+ T cells,T
X230807863179997.N,3,Pro-angiogenesis Macrophage,N
X230807863713116.T,5,B Cell,T
X230807863740188.T,0,CD4 or CD8 T cell,T
X230807875471734.T,0,CD4+ T cell,T
X230807875536622.T,12,Endothelial Cells,T
X230807875808164.T,8,Pancreatic Cancer Cell,T
X230807876029299.N,8,Lung Cancer Cell,N
X230807876286254.T,0,CD4 or CD8 T cell,T
X230807894441396.N,0,Effector/Memory CD4+ T cells,N
X230807894616420.N,0,Effector/Memory CD4+ T cells,N
X230807894669213.T,12,Endothelial Cells,T
X230807894669747.N,13,Lung Cancer Cell,N
X230807895137701.T,4,Macrophage,T
X230809056262901.T,0,T regulatory cells,T
X230809056271581.T,0,T regulatory cells,T
X230809056688556.N,4,Macrophage,N
X230809056982940.N,6,Natural killer cell,N
X230809056987558.T,5,B Cell,T
X230809056996131.T,0,T regulatory cells,T
X230809057028339.T,0,Effector/Memory CD4+ T cells,T
X230809071150940.N,0,Effector/Memory CD4+ T cells,N
X230809071208749.N,4,Macrophage,N
X230809083493238.T,1,Tfh/Th1 helper CD4+ T cells,T
X230809083525851.T,5,B Cell,T
X230809083538292.T,0,CD4+ T cell,T
X230809083766564.T,5,B Cell,T
X230809083952347.N,11,LAMP3 cDC,N
X230809083988851.N,7,Macrophage,N
X230809083992988.T,1,CD8+ T cell,T
X230809084245806.N,3,Pro-angiogenesis Macrophage,N
X230809102309747.T,0,CD4+ T cell,T
X230809102378795.N,2,Pro-angiogenesis Macrophage,N
X230809102576420.N,2,Phagocytosis Macrophage,N
X230809102633843.T,2,Phagocytosis Macrophage,T
X230816706653596.T,5,B Cell,T
X230816706881963.N,2,Pro-angiogenesis Macrophage,N
X230816706946987.N,7,Pro-inflammatory Macrophage,N
X230816706948453.N,2,Pro-angiogenesis Macrophage,N
X230816707430830.T,1,Exhausted CD8+ T cells,T
X230816721296812.T,0,CD4+ T cell,T
X230816721299891.N,1,Natural killer cell,N
X230816721325299.N,4,Pro-angiogenesis Macrophage,N
X230816721525093.T,0,T regulatory cells,T
X230816721550582.T,5,B Cell,T
X230816721812318.T,5,B Cell,T
X230816721877364.T,0,T regulatory cells,T
X230816722110254.T,1,Exhausted CD8+ T cells,T
X230816734103789.N,6,Natural killer cell,N
X230816734103789.T,0,T regulatory cells,T
X230816734174493.T,4,Phagocytosis Macrophage,T
X230816734402332.N,13,Lung Cancer Cell,N
X230816734440860.N,2,Pro-angiogenesis Macrophage,N
X230816734624685.N,3,Pro-angiogenesis Macrophage,N
X230816734670052.N,2,Pro-angiogenesis Macrophage,N
X230816752717211.T,0,CD4+ T cell,T
X230816752752421.N,3,Pro-angiogenesis Macrophage,N
X230816752756533.T,0,T regulatory cells,T
X230816753040619.T,0,CD4+ T cell,T
X230816753080563.N,2,Pro-angiogenesis Macrophage,N
X230816753335724.N,1,CD4 or CD8 T cell,N
X231270765221622.N,9,Pro-angiogenesis Macrophage,N
X231270765222836.T,0,CD4+ T cell,T
X231270765452187.T,1,Exhausted CD8+ T cells,T
X231270765513590.T,0,CD4+ T cell,T
X231270779870571.T,4,Blood Cell,T
X231270780352947.T,1,Exhausted CD8+ T cells,T
X231270780430748.T,5,B Cell,T
X231270780648734.T,10,CAFinfla,T
X231270780721892.T,0,Tfh/Th1 helper CD4+ T cells,T
X231270792775604.N,2,Pro-angiogenesis Macrophage,N
X231270792980387.T,0,CD4+ T cell,T
X231270793238830.T,6,Natural killer cell,T
X231270793267931.T,10,CAFmyo,T
X231270812080045.N,6,CD8 T or NK cell,N
X231279489563574.N,1,Effector/Memory CD8+ T cells,N
X231279490161972.N,15,pDC,N
X231279503989091.T,5,B Cell,T
X231279504256235.T,0,Effector/Memory CD4+ T cells,T
X231279504505267.N,6,Natural killer cell,N
X231279504607452.T,6,Natural killer cell,T
X231279504607532.T,0,T regulatory cells,T
X231279504775459.T,8,CAFinfla,T
X231279516636893.T,1,Exhausted CD8+ T cells,T
X231279517121261.T,4,Macrophage,T
X231279517382894.T,10,CAFadi,T
X231279535516981.T,12,Endothelial Cells,T
X231279535708445.N,4,Pro-angiogenesis Macrophage,N
X231279535745773.T,2,Phagocytosis Macrophage,T
X231279536064357.N,3,Pro-angiogenesis Macrophage,N
X231280294615403.N,1,Effector/Memory CD4+ T cells,N
X231280294640365.T,1,Effector/Memory CD8+ T cells,T
X231280294877083.N,6,Natural killer cell,N
X231280295393197.T,9,Exhausted CD8+ T cells,T
X231280295401270.N,2,Pro-angiogenesis Macrophage,N
X231280295459182.N,0,Effector/Memory CD4+ T cells,N
X231280309295459.T,8,Endothelial Cells,T
X231280309353332.N,15,pDC,N
X231280309393203.N,3,Pro-angiogenesis Macrophage,N
X231280309623707.T,5,B Cell,T
X231280321943332.T,4,Macrophage,T
X231280321972075.T,2,Phagocytosis Macrophage,T
X231280322235117.T,5,B Cell,T
X231280322669854.T,1,CD8+ T cell,T
X231280341051700.N,4,Pro-angiogenesis Macrophage,N
X231280341077341.T,0,Blood Cell,T
X231280341277021.T,1,CD8+ T cell,T
X231280341313454.T,2,Phagocytosis Macrophage,T
X231291300789683.N,0,T regulatory cells,N
X231291301082924.N,6,Natural killer cell,N
X231291301091038.N,7,Pro-inflammatory Macrophage,N
X231291315182516.T,1,CD8+ T cell,T
X231291315480348.N,2,Pro-angiogenesis Macrophage,N
X231291327757227.N,0,Effector/Memory CD4+ T cells,N
X231291327802076.T,5,B Cell,T
X231291327834420.T,5,B Cell,T
X231291328022325.T,0,Tfh/Th1 helper CD4+ T cells,T
X231291328280875.N,1,Effector/Memory CD4+ T cells,N
X231291328289692.N,3,Pro-angiogenesis Macrophage,N
X231291346631518.N,7,Pro-angiogenesis Macrophage,N
X231291347189086.T,7,Pro-inflammatory Macrophage,T
X231291347228453.T,8,Normal Fibroblast,T
X231291347462389.T,0,CD4+ T cell,T
X231291347482462.T,1,Exhausted CD8+ T cells,T
X231291347490541.N,1,Effector/Memory CD4+ T cells,N
X231291347495134.N,3,Pro-angiogenesis Macrophage,N
X231340558404830.T,2,Phagocytosis Macrophage,T
X231340558409012.T,4,CD4+ T cell,T
X231340558706923.T,10,CAFmyo,T
X231340573048219.T,2,Macrophage,T
X231340573080821.N,7,Macrophage,N
X231340573092076.T,0,CD4+ T cell,T
X231340573144948.T,1,Exhausted CD8+ T cells,T
X231340573157740.N,2,Pro-angiogenesis Macrophage,N
X231340573383579.N,3,Pro-angiogenesis Macrophage,N
X231340573412211.N,7,Pro-inflammatory Macrophage,N
X231340573580517.N,0,Effector/Memory CD4+ T cells,N
X231340573903652.T,5,B Cell,T
X231340585707443.N,4,Macrophage,N
X231340586192283.T,8,Pancreatic Cancer Cell,T
X231340586264427.N,13,Lung Cancer Cell,N
X231340586494179.T,3,Macrophage,T
X231340586522340.T,1,Natural killer cell,T
X231340604504987.N,12,Endothelial Cells,N
X231340604550044.T,1,Effector/Memory CD8+ T cells,T
X231340605131483.T,1,Exhausted CD8+ T cells,T
X231340605332187.T,0,Effector/Memory CD4+ T cells,T
X231365388687710.T,0,CD4+ T cell,T
X231365389212020.N,7,Macrophage,N
X231365389272942.N,3,Pro-angiogenesis Macrophage,N
X231365389277429.N,3,Pro-angiogenesis Macrophage,N
X231365389442269.T,4,Macrophage,T
X231365403690790.N,3,Pro-angiogenesis Macrophage,N
X231365403858795.N,0,Effector/Memory CD4+ T cells,N
X231365403859164.N,2,Pro-angiogenesis Macrophage,N
X231365403859171.N,8,Lung Cancer Cell,N
X231365403860197.T,1,Effector/Memory CD8+ T cells,T
X231365415955301.T,5,B Cell,T
X231365415975781.N,1,Effector/Memory CD4+ T cells,N
X231365416434907.N,2,Pro-angiogenesis Macrophage,N
X231365416476003.T,4,Macrophage,T
X231365416537444.N,4,Macrophage,N
X231365416700660.T,0,CD4+ T cell,T
X231365434853724.T,0,CD4+ T cell,T
X231365435406253.T,5,B Cell,T
X231365435673949.N,0,Effector/Memory CD4+ T cells,N
X231366194485667.N,7,Pro-angiogenesis Macrophage,N
X231366194544044.T,0,CD4+ T cell,T
X231366194555125.T,1,Effector/Memory CD8+ T cells,T
X231366208674542.N,1,Effector/Memory CD8+ T cells,N
X231366208699171.T,6,Natural killer cell,T
X231366208994668.N,2,Pro-angiogenesis Macrophage,N
X231366209166630.N,2,Pro-angiogenesis Macrophage,N
X231366209486051.T,9,Phagocytosis Macrophage,T
X231366221289181.T,1,Exhausted CD8+ T cells,T
X231366222007019.N,1,CD4 or CD8 T cell,N
X231366240189811.T,3,Phagocytosis Macrophage,T
X231366240393966.N,4,Pro-angiogenesis Macrophage,N
X231366240983267.N,0,Effector/Memory CD4+ T cells,N
X231692879980270.T,9,CD8+ T cell,T
X231692880001949.T,5,B Cell,T
X231692880242405.T,2,Phagocytosis Macrophage,T
X231692880275891.N,2,Pro-angiogenesis Macrophage,N
X231692880767836.N,1,Effector/Memory CD8+ T cells,N
X231692894910901.T,8,Cancer Associated Fibroblasts,T
X231692894944107.T,0,CD4+ T cell,T
X231692894948211.N,1,Effector/Memory CD8+ T cells,N
X231692895108508.N,2,Pro-angiogenesis Macrophage,N
X231692895177012.N,2,Pro-angiogenesis Macrophage,N
X231692895381811.T,1,Effector/Memory CD8+ T cells,T
X231692907206892.N,2,Pro-angiogenesis Macrophage,N
X231692907465573.T,1,CD8+ T cell,T
X231692907956524.T,5,B Cell,T
X231692907956534.N,3,Pro-angiogenesis Macrophage,N
X231692908055260.T,4,Macrophage,T
X231692926610149.T,5,B Cell,T
X231692926867678.T,1,Exhausted CD8+ T cells,T
X231711804602790.N,3,Pro-angiogenesis Macrophage,N
X231711804669173.N,2,Pro-angiogenesis Macrophage,N
X231711804675932.N,4,Pro-angiogenesis Macrophage,N
X231711804681013.T,2,Phagocytosis Macrophage,T
X231711804876662.T,0,CD4+ T cell,T
X231711804902765.N,13,Lung Cancer Cell,N
X231711805388596.T,0,T regulatory cells,T
X231711805396780.T,10,CAFinfla,T
X231711805434789.N,6,Natural killer cell,N
X231711805463275.N,2,Pro-angiogenesis Macrophage,N
X231711805496093.T,2,Phagocytosis Macrophage,T
X231711819287388.N,2,Pro-angiogenesis Macrophage,N
X231711819361563.N,0,Blood Cell,N
X231711819548523.T,4,CD4+ T cell,T
X231711819557739.N,6,Natural killer cell,N
X231711819610531.T,6,Natural killer cell,T
X231711819615588.N,0,Effector/Memory CD4+ T cells,N
X231711820110580.N,2,Pro-angiogenesis Macrophage,N
X231711820135651.T,0,T regulatory cells,T
X231711832131436.N,1,Natural killer cell,N
X231711832205603.N,3,Pro-angiogenesis Macrophage,N
X231711850740662.N,1,Effector/Memory CD8+ T cells,N
X231711851046771.N,2,Pro-angiogenesis Macrophage,N
X231711851563958.T,0,CD4+ T cell,T
X231711851600292.T,5,B Cell,T
X231754888789301.T,0,CD4+ T cell,T
X231754888863004.T,1,Exhausted CD8+ T cells,T
X231754889051571.T,7,Macrophage,T
X231754889059764.N,4,Naive CD4+ T cells,N
X231754889087260.T,0,CD4+ T cell,T
X231754889280310.T,5,B Cell,T
X231754889321331.T,13,Non Stromal Cell,T
X231754903738269.N,1,Effector/Memory CD4+ T cells,N
X231754903964403.T,0,Effector/Memory CD8+ T cells,T
X231754904038644.T,5,Macrophage or Dendritic Cell,T
X231754915765166.N,7,Pro-angiogenesis Macrophage,N
X231754915867379.N,2,Pro-angiogenesis Macrophage,N
X231754916050796.T,5,B Cell,T
X231754916653876.T,0,Effector/Memory CD8+ T cells,T
X231754934635379.N,4,Pro-angiogenesis Macrophage,N
X231760525638059.N,0,Effector/Memory CD4+ T cells,N
X231760525707061.T,2,Phagocytosis Macrophage,T
X231760525715182.N,6,Natural killer cell,N
X231760525736861.T,4,Macrophage,T
X231760525905259.N,1,Effector/Memory CD4+ T cells,N
X231760526232484.T,0,CD4+ T cell,T
X231760526425012.T,8,Endothelial Cells,T
X231760526427995.T,4,Macrophage,T
X231760526428966.T,5,B Cell,T
X231760540387747.N,0,Naive CD4+ T cells,N
X231760540391851.T,1,Exhausted CD8+ T cells,T
X231760540584805.T,3,Macrophage,T
X231760540588389.N,0,Effector/Memory CD4+ T cells,N
X231760541112629.T,6,Natural killer cell,T
X231760553426139.T,0,CD4+ T cell,T
X231760553434462.T,0,CD4+ T cell,T
X231760553695476.N,0,Blood Cell,N
X231760571808174.T,5,B Cell,T
X231760572050726.T,3,Phagocytosis Macrophage,T
X231760572108125.T,1,Exhausted CD8+ T cells,T
X231760572344622.N,8,Endothelial Cells,N
X231760572344731.T,0,CD4+ T cell,T
X231760572401459.N,3,Pro-angiogenesis Macrophage,N
X231760572636579.N,1,Effector/Memory CD8+ T cells,N
X231770055371549.T,5,B Cell,T
X231770055661940.N,3,Pro-angiogenesis Macrophage,N
X231770055887197.T,10,CAFmyo,T
X231770055895323.N,1,Effector/Memory CD4+ T cells,N
X231770055948126.N,3,Pro-angiogenesis Macrophage,N
X231770055960878.N,14,Mast cell,N
X231770055981339.N,0,Effector/Memory CD4+ T cells,N
X231770070366453.T,5,CD4+ T cell,T
X231770070399404.N,6,Natural killer cell,N
X231770070411493.N,5,Pro-angiogenesis Macrophage,N
X231770070637790.T,5,B Cell,T
X231770082393516.T,8,Pancreatic Cancer Cell,T
X231770082425701.N,0,Pro-angiogenesis Macrophage,N
X231770082695590.T,5,B Cell,T
X231770082884397.T,0,CD4+ T cell,T
X231770082925468.T,1,CD8+ T cell,T
X231770083224299.N,2,Pro-angiogenesis Macrophage,N
X231770101311275.T,0,Naive CD4+ T cells,T
X231770101332396.N,7,Pro-inflammatory Macrophage,N
X231822802990894.T,11,cDC1,T
X231822817615206.T,4,Macrophage,T
X231822817672555.N,0,Effector/Memory CD4+ T cells,N
X231822817676515.N,11,Macrophage or Dendritic Cell,N
X231822817937716.T,5,B Cell,T
X231822817966323.T,1,CD4 or CD8 T cell,T
X231822818199324.T,0,CD4+ T cell,T
X231822830229291.N,0,Effector/Memory CD4+ T cells,N
X231822830753644.N,1,Effector/Memory CD4+ T cells,N
X231822830824244.N,0,CD4 or CD8 T cell,N
X231822848834461.T,1,Effector/Memory CD8+ T cells,T
X231822848908069.T,1,Exhausted CD8+ T cells,T
X231822849097131.N,2,Pro-angiogenesis Macrophage,N
X231822849104158.T,4,Phagocytosis Macrophage,T
X231822849141547.N,2,Pro-angiogenesis Macrophage,N
X231822849632117.T,0,CD4+ T cell,T
X231822849690332.T,1,CD4 or CD8 T cell,T
X231890180000990.N,3,Pro-angiogenesis Macrophage,N
X231890180492123.T,0,CD4+ T cell,T
X231890180492654.N,11,cDC2,N
X231890180597605.N,4,Pro-angiogenesis Macrophage,N
X231890194942701.T,9,Exhausted CD8+ T cells,T
X231890194982763.N,2,Pro-angiogenesis Macrophage,N
X231890195429227.T,8,Cancer Associated Fibroblasts,T
X231890195434221.T,2,Macrophage,T
X231890195532582.T,1,CD8+ T cell,T
X231890207263078.T,8,Any Cell,T
X231890207533996.T,4,Phagocytosis Macrophage,T
X231890207562547.T,5,B Cell,T
X231890226112230.T,1,Exhausted CD8+ T cells,T
X231890226404715.N,0,Blood Cell,N
X231890226629037.T,0,CD4+ T cell,T
X231890226697957.T,0,CD8+ T cell,T
X231890226933094.T,1,CD4 or CD8 T cell,T
X231891388196726.T,0,CD4+ T cell,T
X231891388259621.N,6,Natural killer cell,N
X231891388484972.N,3,Pro-angiogenesis Macrophage,N
X231891402647278.T,0,CD4+ T cell,T
X231891402709341.T,0,Effector/Memory CD4+ T cells,T
X231891402872549.N,2,Pro-angiogenesis Macrophage,N
X231891402938094.T,1,Exhausted CD8+ T cells,T
X231891402968292.T,0,CD4+ T cell,T
X231891403127219.N,0,Effector/Memory CD4+ T cells,N
X231891415775653.T,4,Blood Cell,T
X231891415780707.T,1,Exhausted CD8+ T cells,T
X231891434388710.N,0,Effector/Memory CD4+ T cells,N
X231891434596709.N,1,CD4 or CD8 T cell,N
X231891434649332.T,0,CD4 or CD8 T cell,T
X231891434952987.T,9,Exhausted CD8+ T cells,T
X231897696155998.N,3,Pro-angiogenesis Macrophage,N
X231897696459051.N,6,Natural killer cell,N
X231897696525596.T,5,B Cell,T
X231897696987939.N,2,Pro-angiogenesis Macrophage,N
X231897697020635.N,1,Effector/Memory CD8+ T cells,N
X231897710869860.T,4,Phagocytosis Macrophage,T
X231897710914284.T,4,B Cell,T
X231897711365044.T,5,B Cell,T
X231897711426806.T,0,T regulatory cells,T
X231897711664028.T,4,Macrophage,T
X231897711668147.N,2,Pro-angiogenesis Macrophage,N
X231897723423987.N,4,Any Cell,N
X231897723721515.T,12,Endothelial Cells,T
X231897723780390.T,1,Effector/Memory CD8+ T cells,T
X231897724046053.T,4,Macrophage,T
X231897724210101.T,1,CD8+ T cell,T
X231897742404333.N,0,Naive CD4+ T cells,N
X231897742621982.N,0,Blood Cell,N
X231897742634334.N,3,Pro-angiogenesis Macrophage,N
X231897742849907.T,0,Tfh/Th1 helper CD4+ T cells,T
X231897742850923.N,0,Blood Cell,N
X231900112152302.T,1,Exhausted CD8+ T cells,T
X231900112410867.T,0,CD4+ T cell,T
X231900112902445.T,5,B Cell,T
X231900112903027.T,0,CD4+ T cell,T
X231900112928036.T,0,Blood Cell,T
X231900126768046.T,3,Macrophage,T
X231900126792422.T,1,Effector/Memory CD8+ T cells,T
X231900126800612.T,0,CD4+ T cell,T
X231900126829342.N,1,Effector/Memory CD4+ T cells,N
X231900126861021.N,2,Pro-angiogenesis Macrophage,N
X231900127021987.T,0,T regulatory cells,T
X231900127029107.T,1,CD8+ T cell,T
X231900127381804.T,1,Exhausted CD8+ T cells,T
X231900127549731.T,1,Exhausted CD8+ T cells,T
X231900127553843.T,5,B Cell,T
X231900139634014.T,5,B Cell,T
X231900139678444.N,3,Pro-angiogenesis Macrophage,N
X231900158291166.N,1,Effector/Memory CD8+ T cells,N
X231900158486950.T,9,Exhausted CD8+ T cells,T
X231900158539614.N,1,Effector/Memory CD4+ T cells,N
X231900158551899.N,2,Pro-angiogenesis Macrophage,N
X231900158741811.N,11,Macrophage,N
X231900159002974.N,1,Effector/Memory CD4+ T cells,N
X231907628305836.T,1,Exhausted CD8+ T cells,T
X231907628379372.T,0,T regulatory cells,T
X231907628572060.N,0,Effector/Memory CD4+ T cells,N
X231907628608740.T,4,Naive CD4+ T cells,T
X231907643017573.T,2,Macrophage,T
X231907643217774.T,5,B Cell,T
X231907643509998.T,5,B Cell,T
X231907643542244.T,2,Phagocytosis Macrophage,T
X231907643578598.N,7,Pro-angiogenesis Macrophage,N
X231907643742517.T,0,Effector/Memory CD8+ T cells,T
X231907643767668.N,2,Pro-angiogenesis Macrophage,N
X231907655833387.N,3,Pro-angiogenesis Macrophage,N
X231907656355102.N,1,Effector/Memory CD4+ T cells,N
X231907674474931.T,0,T regulatory cells,T
X231907674478876.T,11,LAMP3 cDC,T
X231907674995635.T,0,CD4+ T cell,T
X231907674996134.N,6,Natural killer cell,N
X231907675028195.T,5,B Cell,T
X231917023546731.N,2,Pro-angiogenesis Macrophage,N
X231917023554860.N,1,Effector/Memory CD8+ T cells,N
X231917023574948.N,2,Pro-angiogenesis Macrophage,N
X231917023775157.T,2,Macrophage,T
X231917023868723.N,0,Effector/Memory CD4+ T cells,N
X231917023870172.N,3,Pro-angiogenesis Macrophage,N
X231917024069491.N,3,Pro-angiogenesis Macrophage,N
X231917024295198.T,4,CD4+ T cell,T
X231917038459819.T,4,Macrophage,T
X231917038717876.T,2,Macrophage,T
X231917038722277.N,7,Macrophage,N
X231917038811499.T,0,Effector/Memory CD8+ T cells,T
X231917038984548.T,8,Normal Fibroblast,T
X231917050845547.T,5,B Cell,T
X231917051296557.T,0,CD4+ T cell,T
X231917051566892.N,3,Pro-angiogenesis Macrophage,N
X231917069981427.T,0,CD4+ T cell,T
X231917070239469.T,0,CD4+ T cell,T
X232261694974259.N,4,Pro-angiogenesis Macrophage,N
X232261694975204.N,3,Pro-angiogenesis Macrophage,N
X232261695260979.N,0,CD4 or CD8 T cell,N
X232261695522531.T,0,CD4+ T cell,T
X232261709319604.N,6,Natural killer cell,N
X232261709420253.T,0,CD8+ T cell,T
X232261709424563.T,1,Effector/Memory CD8+ T cells,T
X232261710109478.N,0,Effector/Memory CD4+ T cells,N
X232261710211382.T,5,B Cell,T
X232261722003358.T,0,CD4+ T cell,T
X232261722200947.N,9,Pro-angiogenesis Macrophage,N
X232261722519454.N,1,Effector/Memory CD4+ T cells,N
X232261722684766.N,4,Blood Cell,N
X232261722785635.T,4,Phagocytosis Macrophage,T
X232261740883230.N,2,Pro-angiogenesis Macrophage,N
X232261741402036.N,2,Pro-angiogenesis Macrophage,N
X232301289135350.N,0,Naive CD4+ T cells,N
X232301289199859.N,7,Pro-inflammatory Macrophage,N
X232301289200996.N,3,Pro-angiogenesis Macrophage,N
X232301289421156.T,0,CD4+ T cell,T
X232301303589660.N,0,Effector/Memory CD4+ T cells,N
X232301303590252.N,6,Natural killer cell,N
X232301303617326.T,5,B Cell,T
X232301303815006.N,3,Pro-angiogenesis Macrophage,N
X232301303819683.N,0,Effector/Memory CD8+ T cells,N
X232301304077541.T,4,Macrophage,T
X232301304335070.T,0,CD4 or CD8 T cell,T
X232301316401012.N,8,Non Blood Cell,N
X232301316496694.T,0,CD4+ T cell,T
X232301335042342.N,3,Pro-angiogenesis Macrophage,N
X232302631139101.T,2,Phagocytosis Macrophage,T
X232302631827252.N,15,pDC,N
X232302631831901.N,2,Phagocytosis Macrophage,N
X232302646049069.N,6,Natural killer cell,N
X232302646287717.T,5,B Cell,T
X232302646573862.T,1,Exhausted CD8+ T cells,T
X232302658411878.T,4,Macrophage,T
X232302658578868.T,1,Effector/Memory CD8+ T cells,T
X232302658636077.N,15,pDC,N
X232302658664294.T,7,Macrophage,T
X232302658668468.N,3,Pro-angiogenesis Macrophage,N
X232302658865509.N,3,Pro-angiogenesis Macrophage,N
X232302677223795.T,0,CD4 or CD8 T cell,T
X232302677482277.N,11,cDC1,N
X232302677801885.T,0,Effector/Memory CD4+ T cells,T
X232311355231469.N,6,Natural killer cell,N
X232311355292460.N,4,Pro-angiogenesis Macrophage,N
X232311355297051.N,1,Effector/Memory CD4+ T cells,N
X232311355553699.T,9,CD8+ T cell,T
X232311355557748.N,2,Pro-angiogenesis Macrophage,N
X232311355751213.N,4,Macrophage,N
X232311355819886.T,0,CD4 or CD8 T cell,T
X232311356016491.T,0,Effector/Memory CD4+ T cells,T
X232311356025566.N,2,Pro-angiogenesis Macrophage,N
X232311370143461.N,2,Pro-angiogenesis Macrophage,N
X232311370149221.N,3,Pro-angiogenesis Macrophage,N
X232311370245853.T,5,B Cell,T
X232311370763635.T,4,CD4+ T cell,T
X232311382525678.N,2,Pro-angiogenesis Macrophage,N
X232311382994163.N,1,Natural killer cell,N
X232311383059868.T,7,Macrophage,T
X232311383247158.N,4,Pro-angiogenesis Macrophage,N
X232311383280556.N,3,Pro-angiogenesis Macrophage,N
X232311401442155.N,0,Effector/Memory CD4+ T cells,N
X232311401666973.N,0,Effector/Memory CD4+ T cells,N
X232311401867676.N,3,Pro-angiogenesis Macrophage,N
X232318602951083.T,0,Effector/Memory CD4+ T cells,T
X232318603581685.T,10,CAFmyo,T
X232318603807668.N,0,Effector/Memory CD8+ T cells,N
X232318617896820.T,0,Blood Cell,T
X232318617930477.N,13,Lung Cancer Cell,N
X232318617963740.T,0,CD4+ T cell,T
X232318617991523.N,6,Natural killer cell,N
X232318618450804.T,0,Effector/Memory CD4+ T cells,T
X232318630222237.N,0,Effector/Memory CD4+ T cells,N
X232318630324638.N,2,Pro-angiogenesis Macrophage,N
X232318630586715.N,3,Pro-angiogenesis Macrophage,N
X232318631008500.N,2,Pro-angiogenesis Macrophage,N
X232318649355635.N,3,Pro-angiogenesis Macrophage,N
X232318649363811.N,0,Blood Cell,N
X232318649645931.T,5,B Cell,T
X232318649882341.N,13,Lung Cancer Cell,N
X232318649947941.T,5,B Cell,T
X232318649952501.T,1,Effector/Memory CD8+ T cells,T
X232318649985261.T,0,Effector/Memory CD8+ T cells,T
X232321018935141.N,4,Pro-angiogenesis Macrophage,N
X232321018977501.N,6,Natural killer cell,N
X232321019166005.N,3,Pro-angiogenesis Macrophage,N
X232321019201317.T,1,Exhausted CD8+ T cells,T
X232321019394469.N,0,Effector/Memory CD4+ T cells,N
X232321033910627.T,0,CD4+ T cell,T
X232321033915251.T,0,CD4 or CD8 T cell,T
X232321034082524.T,5,B Cell,T
X232321034144173.N,0,Effector/Memory CD4+ T cells,N
X232321034369908.T,1,Exhausted CD8+ T cells,T
X232321034403043.T,0,CD4+ T cell,T
X232321034447131.N,2,Pro-angiogenesis Macrophage,N
X232321046472629.N,8,Lung Cancer Cell,N
X232321046694771.N,3,Pro-angiogenesis Macrophage,N
X232321065113517.T,5,B Cell,T
X232321065273772.N,0,Effector/Memory CD4+ T cells,N
X232321065282854.T,5,B Cell,T
X232321065348518.T,5,B Cell,T
X232321065380788.N,3,Pro-angiogenesis Macrophage,N
X232321065610012.T,1,Exhausted CD8+ T cells,T
X232321065860398.N,3,Pro-angiogenesis Macrophage,N
X232321065896819.N,0,Effector/Memory CD4+ T cells,N
X232327461890422.N,2,Pro-angiogenesis Macrophage,N
X232327461915941.T,0,CD4+ T cell,T
X232327476336355.N,2,Pro-angiogenesis Macrophage,N
X232327476534107.T,0,CD8+ T cell,T
X232327488620893.T,0,CD4+ T cell,T
X232327488858462.N,2,Pro-angiogenesis Macrophage,N
X232327488920294.T,6,CD8 T or NK cell,T
X232327489371053.T,1,Exhausted CD8+ T cells,T
X232327489447667.N,1,Effector/Memory CD4+ T cells,N
X232327507536158.T,0,Effector/Memory CD4+ T cells,T
X232327507793630.T,0,T regulatory cells,T
X232327507824028.N,3,Pro-angiogenesis Macrophage,N
X232327508082036.T,10,CAFinfla,T
X232328266640606.T,7,Pro-inflammatory Macrophage,T
X232328266729781.N,1,Effector/Memory CD8+ T cells,N
X232328267152307.T,8,Stromal Cell,T
X232328281377115.N,7,Macrophage,N
X232328281611700.T,0,CD8+ T cell,T
X232328281642796.T,3,Phagocytosis Macrophage,T
X232328281839332.T,7,Macrophage,T
X232328282159910.N,9,Pro-angiogenesis Macrophage,N
X232328282172637.T,1,Exhausted CD8+ T cells,T
X232328294226739.T,4,Macrophage,T
X232328294459299.N,1,Effector/Memory CD4+ T cells,N
X232328294717668.N,2,Pro-angiogenesis Macrophage,N
X232328294754531.T,0,T regulatory cells,T
X232328312776422.N,4,Pro-angiogenesis Macrophage,N
X232328312837933.N,4,Naive CD4+ T cells,N
X232328313040227.T,10,CAFadi,T
X232328313072556.N,3,Pro-angiogenesis Macrophage,N
X232328313289014.N,0,Effector/Memory CD4+ T cells,N
X232328313386790.T,1,CD4+ T cell,T
X232328313395508.T,0,Effector/Memory CD8+ T cells,T
X232328313399006.N,3,Pro-angiogenesis Macrophage,N
X232328313560485.T,1,CD4 or CD8 T cell,T
X232330279938859.T,10,CAFinfla,T
X232330279958373.T,1,Effector/Memory CD8+ T cells,T
X232330279970675.N,2,Pro-angiogenesis Macrophage,N
X232330280221603.T,0,T regulatory cells,T
X232330280266163.N,2,Pro-angiogenesis Macrophage,N
X232330280684844.T,5,B Cell,T
X232330280689059.N,6,Natural killer cell,N
X232330294671220.N,4,Macrophage,N
X232330295364339.T,0,CD4+ T cell,T
X232330295369060.T,9,T regulatory cells,T
X232330295424742.N,1,Effector/Memory CD4+ T cells,N
X232330307193710.T,4,Blood Cell,T
X232330307267941.N,2,Pro-angiogenesis Macrophage,N
X232330307492262.T,1,Exhausted CD8+ T cells,T
X232330307524899.N,3,Pro-angiogenesis Macrophage,N
X232330307955422.T,5,B Cell,T
X232330326338285.N,11,Phagocytosis Macrophage,N
